ccd_count clocking datestart             datestop              dec             dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1                 q2               q3               q4                ra            roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board
6         0        2017:036:23:06:49.314 2017:036:23:06:59.565 12.667697037    ENAB   6         RETR RETR 50326 NMAN      162.06 WSVIDALLDN 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 obsid,pcad_mode                                  602723278.50 602723288.75 0        
6         0        2017:036:23:06:59.565 2017:036:23:12:16.834 12.667697037    ENAB   6         RETR RETR 50326 NMAN      161.99 WSVIDALLDN 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602723288.75 602723606.02 0        
6         0        2017:036:23:12:16.834 2017:036:23:17:34.103 10.744493116    ENAB   6         RETR RETR 50326 NMAN      161.42 WSVIDALLDN 0.184941908698     0.540252092173   0.814040068683   0.106126973998    157.711971325 69.2644293275 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602723606.02 602723923.29 0        
6         0        2017:036:23:17:34.103 2017:036:23:22:51.371 4.48971892337   ENAB   6         RETR RETR 50326 NMAN      160.10 WSVIDALLDN 0.129037375689     0.429546579701   0.87700588371    0.172336218487    155.518051521 53.1646248509 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602723923.29 602724240.56 0        
6         0        2017:036:23:22:51.371 2017:036:23:28:08.640 -2.4994751958   ENAB   6         RETR RETR 50326 NMAN      158.31 WSVIDALLDN 0.0491874006817    0.26491548093    0.928711538652   0.254745493139    150.019410907 31.1722794579 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602724240.56 602724557.82 0        
6         0        2017:036:23:28:08.640 2017:036:23:33:25.909 -6.87236093707  ENAB   6         RETR RETR 50326 NMAN      156.71 WSVIDALLDN -0.0327748869373   0.0889078039386  0.940534437681   0.326214931361    142.251002959 8.4481268476  TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602724557.82 602724875.09 0        
6         0        2017:036:23:33:25.909 2017:036:23:38:43.178 -7.95855915324  ENAB   6         RETR RETR 50326 NMAN      155.88 WSVIDALLDN -0.0929357220864   -0.0447214717926 0.923136646273   0.370380445692    135.663815944 351.205920993 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602724875.09 602725192.36 0        
6         0        2017:036:23:38:43.178 2017:037:00:00:16.403 -7.90000000789  ENAB   6         RETR RETR 50326 NPNT      155.71 WSVIDALLDN -0.110205365       -0.0838098883    0.913859226      0.381696207       133.699999984 346.137975244 TE_00B26 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602725192.36 602726485.59 0        
6         0        2017:037:00:00:16.403 2017:037:00:00:26.654 -7.90000000789  ENAB   6         RETR RETR 50325 NMAN      155.71 WSVIDALLDN -0.110205365       -0.0838098883    0.913859226      0.381696207       133.699999984 346.137975244 TE_00B26 -468      -99616 obsid,pcad_mode                                  602726485.59 602726495.84 0        
6         0        2017:037:00:00:26.654 2017:037:00:05:33.099 -7.90000000789  ENAB   6         RETR RETR 50325 NMAN      153.43 WSVIDALLDN -0.110205365       -0.0838098883    0.913859226      0.381696207       133.699999984 346.137975244 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602726495.84 602726802.28 0        
6         0        2017:037:00:05:33.099 2017:037:00:10:39.543 -12.6696299375  ENAB   6         RETR RETR 50325 NMAN      143.17 WSVIDALLDN -0.146413822997    -0.0647435182391 0.913928858869   0.37296824187     134.09569815  346.512310251 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602726802.28 602727108.73 0        
6         0        2017:037:00:10:39.543 2017:037:00:15:45.988 -29.014667751   ENAB   6         RETR RETR 50325 NMAN      123.96 WSVIDALLDN -0.268352965316    0.00135146413899 0.902020059135   0.338148889847    135.832796956 348.185439751 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602727108.73 602727415.17 0        
6         0        2017:037:00:15:45.988 2017:037:00:20:52.433 -51.6621519704  ENAB   6         RETR RETR 50325 NMAN      101.45 WSVIDALLDN -0.428617179605    0.093161560725   0.854537286465   0.27816229476     140.382443154 352.661595454 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602727415.17 602727721.62 0        
